"Phylum","Family","Genus"
"Actinobacteria","Actinobacteria","Actinomycetaceae"
"Firmicutes","Bacilli","Aerococcus"
"Proteobacteria","Proteobacteria","Aeromonas"
"Verrucomicrobia","Verrucomicrobia","Akkermansia"
"Proteobacteria","Proteobacteria","Alcaligenes faecalis et rel."
"Bacteroidetes","Bacteroidetes","Allistipes et rel."
"Proteobacteria","Proteobacteria","Anaerobiospirillum"
"Firmicutes","Clostridium cluster XV","Anaerofustis"
"Firmicutes","Clostridium cluster XIVa","Anaerostipes caccae et rel."
"Firmicutes","Clostridium cluster IV","Anaerotruncus colihominis et rel."
"Firmicutes","Clostridium cluster XI","Anaerovorax odorimutans et rel."
"Firmicutes","Bacilli","Aneurinibacillus"
"Proteobacteria","Proteobacteria","Aquabacterium"
"Firmicutes","Asteroleplasma","Asteroleplasma et rel."
"Actinobacteria","Actinobacteria","Atopobium"
"Firmicutes","Bacilli","Bacillus"
"Bacteroidetes","Bacteroidetes","Bacteroides fragilis et rel."
"Bacteroidetes","Bacteroidetes","Bacteroides intestinalis et rel."
"Bacteroidetes","Bacteroidetes","Bacteroides ovatus et rel."
"Bacteroidetes","Bacteroidetes","Bacteroides plebeius et rel."
"Bacteroidetes","Bacteroidetes","Bacteroides splachnicus et rel."
"Bacteroidetes","Bacteroidetes","Bacteroides stercoris et rel."
"Bacteroidetes","Bacteroidetes","Bacteroides uniformis et rel."
"Bacteroidetes","Bacteroidetes","Bacteroides vulgatus et rel."
"Actinobacteria","Actinobacteria","Bifidobacterium"
"Proteobacteria","Proteobacteria","Bilophila et rel."
"Spirochaetes","Spirochaetes","Brachyspira"
"Firmicutes","Clostridium cluster XIVa","Bryantella formatexigens et rel."
"Firmicutes","Clostridium cluster XVI","Bulleidia moorei et rel."
"Proteobacteria","Proteobacteria","Burkholderia"
"Firmicutes","Clostridium cluster XIVa","Butyrivibrio crossotus et rel."
"Proteobacteria","Proteobacteria","Campylobacter"
"Firmicutes","Clostridium cluster XVII","Catenibacterium mitsuokai et rel."
"Firmicutes","Clostridium cluster I","Clostridium (sensu stricto)"
"Firmicutes","Clostridium cluster IV","Clostridium cellulosi et rel."
"Firmicutes","Clostridium cluster XIVa","Clostridium colinum et rel."
"Firmicutes","Clostridium cluster XI","Clostridium difficile et rel."
"Firmicutes","Clostridium cluster XI","Clostridium felsineum et rel."
"Firmicutes","Clostridium cluster IV","Clostridium leptum et rel."
"Firmicutes","Clostridium cluster XIVa","Clostridium nexile et rel."
"Firmicutes","Clostridium cluster IV","Clostridium orbiscindens et rel."
"Firmicutes","Clostridium cluster XVIII","Clostridium ramosum et rel."
"Firmicutes","Clostridium cluster XIVa","Clostridium sphenoides et rel."
"Firmicutes","Clostridium cluster III","Clostridium stercorarium et rel."
"Firmicutes","Clostridium cluster XIVa","Clostridium symbiosum et rel."
"Firmicutes","Clostridium cluster III","Clostridium thermocellum et rel."
"Actinobacteria","Actinobacteria","Collinsella"
"Firmicutes","Clostridium cluster XVIII","Coprobacillus catenaformis et rel."
"Firmicutes","Clostridium cluster XIVa","Coprococcus eutactus et rel."
"Actinobacteria","Actinobacteria","Corynebacterium"
"Proteobacteria","Proteobacteria","Desulfovibrio et rel."
"Firmicutes","Clostridium cluster IX","Dialister"
"Firmicutes","Clostridium cluster XIVa","Dorea formicigenerans et rel."
"Actinobacteria","Actinobacteria","Eggerthella lenta et rel."
"Proteobacteria","Proteobacteria","Enterobacter aerogenes et rel."
"Firmicutes","Bacilli","Enterococcus"
"Proteobacteria","Proteobacteria","Escherichia coli et rel."
"Firmicutes","Clostridium cluster XVI","Eubacterium biforme et rel."
"Firmicutes","Clostridium cluster XVI","Eubacterium cylindroides et rel."
"Firmicutes","Clostridium cluster XIVa","Eubacterium hallii et rel."
"Firmicutes","Clostridium cluster XV","Eubacterium limosum et rel."
"Firmicutes","Clostridium cluster XIVa","Eubacterium rectale et rel."
"Firmicutes","Clostridium cluster IV","Eubacterium siraeum et rel."
"Firmicutes","Clostridium cluster XIVa","Eubacterium ventriosum et rel."
"Firmicutes","Clostridium cluster IV","Faecalibacterium prausnitzii et rel."
"Fusobacteria","Fusobacteria","Fusobacteria"
"Firmicutes","Bacilli","Gemella"
"Firmicutes","Bacilli","Granulicatella"
"Proteobacteria","Proteobacteria","Haemophilus"
"Proteobacteria","Proteobacteria","Helicobacter"
"Proteobacteria","Proteobacteria","Klebisiella pneumoniae et rel."
"Firmicutes","Clostridium cluster XIVa","Lachnobacillus bovis et rel."
"Firmicutes","Clostridium cluster XIVa","Lachnospira pectinoschiza et rel."
"Firmicutes","Clostridium cluster XVII","Lactobacillus catenaformis et rel."
"Firmicutes","Bacilli","Lactobacillus gasseri et rel."
"Firmicutes","Bacilli","Lactobacillus plantarum et rel."
"Firmicutes","Bacilli","Lactobacillus salivarius et rel."
"Firmicutes","Bacilli","Lactococcus"
"Proteobacteria","Proteobacteria","Leminorella"
"Firmicutes","Clostridium cluster IX","Megamonas hypermegale et rel."
"Firmicutes","Clostridium cluster IX","Megasphaera elsdenii et rel."
"Proteobacteria","Proteobacteria","Methylobacterium"
"Actinobacteria","Actinobacteria","Micrococcaceae"
"Firmicutes","Clostridium cluster IX","Mitsuokella multiacida et rel."
"Proteobacteria","Proteobacteria","Moraxellaceae"
"Proteobacteria","Proteobacteria","Novosphingobium"
"Proteobacteria","Proteobacteria","Oceanospirillum"
"Firmicutes","Clostridium cluster IV","Oscillospira guillermondii et rel."
"Firmicutes","Clostridium cluster XIVa","Outgrouping clostridium cluster XIVa"
"Proteobacteria","Proteobacteria","Oxalobacter formigenes et rel."
"Firmicutes","Clostridium cluster IV","Papillibacter cinnamivorans et rel."
"Bacteroidetes","Bacteroidetes","Parabacteroides distasonis et rel."
"Firmicutes","Clostridium cluster IX","Peptococcus niger et rel."
"Firmicutes","Clostridium cluster XI","Peptostreptococcus anaerobius et rel."
"Firmicutes","Clostridium cluster XIII","Peptostreptococcus micros et rel."
"Firmicutes","Clostridium cluster IX","Phascolarctobacterium faecium et rel."
"Bacteroidetes","Bacteroidetes","Prevotella melaninogenica et rel."
"Bacteroidetes","Bacteroidetes","Prevotella oralis et rel."
"Bacteroidetes","Bacteroidetes","Prevotella ruminicola et rel."
"Bacteroidetes","Bacteroidetes","Prevotella tannerae et rel."
"Actinobacteria","Actinobacteria","Propionibacterium"
"Proteobacteria","Proteobacteria","Proteus et rel."
"Proteobacteria","Proteobacteria","Pseudomonas"
"Firmicutes","Clostridium cluster XIVa","Roseburia intestinalis et rel."
"Firmicutes","Clostridium cluster IV","Ruminococcus bromii et rel."
"Firmicutes","Clostridium cluster IV","Ruminococcus callidus et rel."
"Firmicutes","Clostridium cluster XIVa","Ruminococcus gnavus et rel."
"Firmicutes","Clostridium cluster XIVa","Ruminococcus lactaris et rel."
"Firmicutes","Clostridium cluster XIVa","Ruminococcus obeum et rel."
"Proteobacteria","Proteobacteria","Serratia"
"Firmicutes","Clostridium cluster IV","Sporobacter termitidis et rel."
"Firmicutes","Bacilli","Staphylococcus"
"Firmicutes","Bacilli","Streptococcus bovis et rel."
"Firmicutes","Bacilli","Streptococcus intermedius et rel."
"Firmicutes","Bacilli","Streptococcus mitis et rel."
"Firmicutes","Clostridium cluster IV","Subdoligranulum variable at rel."
"Proteobacteria","Proteobacteria","Sutterella wadsworthia et rel."
"Bacteroidetes","Bacteroidetes","Tannerella et rel."
"Bacteroidetes","Bacteroidetes","Uncultured Bacteroidetes"
"Cyanobacteria","Cyanobacteria","Uncultured Chroococcales"
"Firmicutes","Uncultured Clostridiales","Uncultured Clostridiales I"
"Firmicutes","Uncultured Clostridiales","Uncultured Clostridiales II"
"Firmicutes","Uncultured Mollicutes","Uncultured Mollicutes"
"Firmicutes","Clostridium cluster IX","Uncultured Selenomonadaceae"
"Firmicutes","Clostridium cluster IX","Veillonella"
"Proteobacteria","Proteobacteria","Vibrio"
"Firmicutes","Bacilli","Weissella et rel."
"Firmicutes","Bacilli","Wissella et rel."
"Proteobacteria","Proteobacteria","Xanthomonadaceae"
"Proteobacteria","Proteobacteria","Yersinia et rel."
